Preview	Class	Name	DLC
arma3-icon b c compact mcamo ca.png	B_Static_Designator_01_weapon_F	Remote Designator Bag [NATO]	mark icon ca.png
arma3-backpack ca.png	B_TacticalPack_Base	Bag	
arma3-icon b c small blk.png	B_TacticalPack_blk	Tactical Backpack (Black)	
arma3-icon b c small mcamo.png	B_TacticalPack_mcamo	Tactical Backpack (MTP)	
arma3-icon b c small hex.png	B_TacticalPack_ocamo	Tactical Backpack (Hex)	
arma3-icon b c small hex.png	B_TacticalPack_ocamo_AA_F	Tactical Backpack (Hex)	
arma3-icon b c small hex.png	B_TacticalPack_ocamo_AT_F	Tactical Backpack (Hex)	
arma3-icon b c small oli.png	B_TacticalPack_oli	Tactical Backpack (Olive)	
arma3-icon b c small oli.png	B_TacticalPack_oli_AAR	Tactical Backpack (Olive)	
arma3-icon b c small rgr.png	B_TacticalPack_rgr	Tactical Backpack (Green)	
arma3-icon b c uav rgr ca.png	B_UAV_01_backpack_F	UAV Bag (AR-2) [NATO]	
arma3-icon b uav 06 ca.png	B_UAV_06_backpack_F	UAV Bag (AL-6) [NATO]	orange icon ca.png
arma3-icon b uav 06 medical ca.png	B_UAV_06_medical_backpack_F	UAV Bag (AL-6, Medical) [NATO]	orange icon ca.png
arma3-icon b ugv 02 demining ca.png	B_UGV_02_Demining_backpack_F	UGV Bag (ED-1D) [NATO]	
arma3-icon b ugv 02 science ca.png	B_UGV_02_Science_backpack_F	UGV Bag (ED-1E) [NATO]	
arma3-icon b viperharness blk f ca.png	B_ViperHarness_blk_F	Viper Harness (Black)	apex icon ca.png
arma3-icon b viperharness ghex f ca.png	B_ViperHarness_ghex_Exp_F	Viper Harness (Green Hex)	apex icon ca.png
arma3-icon b viperharness ghex f ca.png	B_ViperHarness_ghex_F	Viper Harness (Green Hex)	apex icon ca.png
arma3-icon b viperharness ghex f ca.png	B_ViperHarness_ghex_JTAC_F	Viper Harness (Green Hex)	apex icon ca.png
arma3-icon b viperharness ghex f ca.png	B_ViperHarness_ghex_LAT_F	Viper Harness (Green Hex)	apex icon ca.png
arma3-icon b viperharness ghex f ca.png	B_ViperHarness_ghex_M_F	Viper Harness (Green Hex)	apex icon ca.png
arma3-icon b viperharness ghex f ca.png	B_ViperHarness_ghex_Medic_F	Viper Harness (Green Hex)	apex icon ca.png
arma3-icon b viperharness ghex f ca.png	B_ViperHarness_ghex_TL_F	Viper Harness (Green Hex)	apex icon ca.png
arma3-icon b viperharness hex f ca.png	B_ViperHarness_hex_Exp_F	Viper Harness (Hex)	apex icon ca.png
arma3-icon b viperharness hex f ca.png	B_ViperHarness_hex_F	Viper Harness (Hex)	apex icon ca.png
arma3-icon b viperharness hex f ca.png	B_ViperHarness_hex_JTAC_F	Viper Harness (Hex)	apex icon ca.png
arma3-icon b viperharness hex f ca.png	B_ViperHarness_hex_LAT_F	Viper Harness (Hex)	apex icon ca.png
arma3-icon b viperharness hex f ca.png	B_ViperHarness_hex_M_F	Viper Harness (Hex)	apex icon ca.png
arma3-icon b viperharness hex f ca.png	B_ViperHarness_hex_Medic_F	Viper Harness (Hex)	apex icon ca.png
arma3-icon b viperharness hex f ca.png	B_ViperHarness_hex_TL_F	Viper Harness (Hex)	apex icon ca.png
arma3-icon b viperharness khk f ca.png	B_ViperHarness_khk_F	Viper Harness (Khaki)	apex icon ca.png
arma3-icon b viperharness oli f ca.png	B_ViperHarness_oli_F	Viper Harness (Olive)	apex icon ca.png
arma3-icon b viperlightharness blk f ca.png	B_ViperLightHarness_blk_F	Viper Light Harness (Black)	apex icon ca.png
arma3-icon b viperlightharness ghex f ca.png	B_ViperLightHarness_ghex_F	Viper Light Harness (Green Hex)	apex icon ca.png
arma3-icon b viperlightharness hex f ca.png	B_ViperLightHarness_hex_F	Viper Light Harness (Hex)	apex icon ca.png
arma3-icon b viperlightharness khk f ca.png	B_ViperLightHarness_khk_F	Viper Light Harness (Khaki)	apex icon ca.png
arma3-icon b viperlightharness oli f ca.png	B_ViperLightHarness_oli_F	Viper Light Harness (Olive)	apex icon ca.png
arma3-icon b assaultpack wdl f ca.png	B_W_Static_Designator_01_weapon_F	Remote Designator Bag [NATO]	
arma3-backpack ca.png	Bag_Base	Bag	
arma3-backpack ca.png	C_Bergen_Base	Bag	
arma3-backpack ca.png	C_Bergen_blu	Bergen (Blue)	
arma3-backpack ca.png	C_Bergen_grn	Bergen (Green)	
arma3-backpack ca.png	C_Bergen_red	Bergen (Red)	
arma3-icon c idap uav ca.png	C_IDAP_UAV_01_backpack_F	UAV Bag [IDAP]	orange icon ca.png
arma3-icon c idap uav 06 antimine ca.png	C_IDAP_UAV_06_antimine_backpack_F	UAV Bag (Demining) [IDAP]	orange icon ca.png
arma3-icon c idap uav 06 ca.png	C_IDAP_UAV_06_backpack_F	UAV Bag (Utility) [IDAP]	orange icon ca.png
arma3-icon c idap uav 06 medical ca.png	C_IDAP_UAV_06_medical_backpack_F	UAV Bag (AL-6, Medical) [IDAP]	orange icon ca.png
arma3-icon c idap ugv 02 demining ca.png	C_IDAP_UGV_02_Demining_backpack_F	UGV Bag (Demining) [IDAP]	
arma3-icon c uav 06 ca.png	C_UAV_06_backpack_F	UAV Bag (Utility)	orange icon ca.png
arma3-icon c uav 06 medical ca.png	C_UAV_06_medical_backpack_F	UAV Bag (Utility, Medical)	orange icon ca.png
arma3-backpack ca.png	G_AssaultPack	Assault Pack	
arma3-backpack ca.png	G_Bergen	Bergen	
arma3-icon b tortila oli ca.png	G_Carryall_Ammo	Carryall Backpack (Olive)	
arma3-icon b tortila oli ca.png	G_Carryall_Exp	Carryall Backpack (Olive)	
arma3-icon b c small blk.png	G_FieldPack_LAT	Tactical Backpack (Black)	
arma3-icon b c small blk.png	G_FieldPack_LAT2	Tactical Backpack (Black)	
arma3-icon b c small blk.png	G_FieldPack_Medic	Tactical Backpack (Black)	
arma3-icon b tortila oli ca.png	G_TacticalPack_Eng	Carryall Backpack (Olive)	
arma3-icon b c small oli.png	I_AA_01_weapon_F	Static Titan Launcher (AA) [AAF]	
arma3-icon b gorod blk ca.png	I_Assault_Diver	Field Pack (Black)	
arma3-icon b c small oli.png	I_AT_01_weapon_F	Static Titan Launcher (AT) [AAF]	
arma3-icon b c small oli.png	I_C_HMG_02_high_weapon_F	Dismantled M2 HMG .50 (Raised) [Syndikat]	
arma3-icon b c small oli.png	I_C_HMG_02_support_F	Folded Tripod M2 HMG .50 [FIA]	
arma3-icon b c small oli.png	I_C_HMG_02_support_high_F	Folded Tripod M2 HMG .50 (Raised) [Syndikat]	
arma3-icon b c small oli.png	I_C_HMG_02_weapon_F	Dismantled M2 HMG .50 [Syndikat]	
arma3-icon b tortila oli ca.png	I_Carryall_oli_AAA	Carryall Backpack (Olive)	
arma3-icon b tortila oli ca.png	I_Carryall_oli_AAT	Carryall Backpack (Olive)	
arma3-icon b tortila oli ca.png	I_Carryall_oli_Eng	Carryall Backpack (Olive)	
arma3-icon b tortila oli ca.png	I_Carryall_oli_Exp	Carryall Backpack (Olive)	
arma3-icon b c small oli.png	I_E_AA_01_weapon_F	Static Titan Launcher (AA) [LDF]	
arma3-icon b c small oli.png	I_E_AT_01_weapon_F	Static Titan Launcher (AT) [LDF]	
arma3-icon b c small oli.png	I_E_GMG_01_A_Weapon_F	Dismantled Autonomous GMG [LDF]	
arma3-icon b c small oli.png	I_E_GMG_01_high_Weapon_F	Dismantled Mk32 GMG (Raised) [LDF]	
arma3-icon b c small oli.png	I_E_GMG_01_Weapon_F	Dismantled Mk32 GMG [LDF]	
arma3-icon b c small oli.png	I_E_HMG_01_A_Weapon_F	Dismantled Autonomous MG [LDF]	
arma3-icon b c small oli.png	I_E_HMG_01_high_Weapon_F	Dismantled Mk30 HMG (Raised) [LDF]	
arma3-icon b c small oli.png	I_E_HMG_01_support_F	Folded Tripod [LDF]	
arma3-icon b c small oli.png	I_E_HMG_01_support_high_F	Folded Tripod (Raised) [LDF]	
arma3-icon b c small oli.png	I_E_HMG_01_Weapon_F	Dismantled Mk30 HMG [LDF]	
arma3-icon b c small oli.png	I_E_HMG_02_high_weapon_F	Dismantled M2 HMG .50 (Raised) [LDF]	
arma3-icon b c small oli.png	I_E_HMG_02_support_F	Folded Tripod M2 HMG .50 [LDF]	
arma3-icon b c small oli.png	I_E_HMG_02_support_high_F	Folded Tripod M2 HMG .50 (Raised) [LDF]	
arma3-icon b c small oli.png	I_E_HMG_02_weapon_F	Dismantled M2 HMG .50 [LDF]	
arma3-icon b c small oli.png	I_E_Mortar_01_support_F	Folded Mk6 Mortar Bipod [LDF]	
arma3-icon b c small oli.png	I_E_Mortar_01_Weapon_F	Folded Mk6 Mortar Tube [LDF]	
arma3-icon i e uav 01 backpack f ca.png	I_E_UAV_01_backpack_F	UAV Bag (AR-2) [LDF]	orange icon ca.png
arma3-icon i e uav 06 backpack f ca.png	I_E_UAV_06_backpack_F	UAV Bag (AL-6) [LDF]	orange icon ca.png
arma3-icon i e uav 06 backpack f ca.png	I_E_UAV_06_medical_backpack_F	UAV Bag (AL-6, Medical) [LDF]	orange icon ca.png
arma3-icon i ugv 02 demining ca.png	I_E_UGV_02_Demining_backpack_F	UGV Bag (ED-1D) [LDF]	
arma3-icon i ugv 02 science ca.png	I_E_UGV_02_Science_backpack_F	UGV Bag (ED-1E) [LDF]	
arma3-icon b gorod oli ca.png	I_Fieldpack_oli_AA	Field Pack (Olive)	
arma3-icon b c small oli.png	I_Fieldpack_oli_AAR	Tactical Backpack (Olive)	
arma3-icon b tortila oli ca.png	I_Fieldpack_oli_Ammo	Carryall Backpack (Olive)	
arma3-icon b gorod oli ca.png	I_Fieldpack_oli_AT	Field Pack (Olive)	
arma3-icon b c compact dgtl ca.png	I_Fieldpack_oli_LAT	Assault Pack (Digital)	
arma3-icon b c compact dgtl ca.png	I_Fieldpack_oli_LAT2	Assault Pack (Digital)	
arma3-icon b gorod oli ca.png	I_Fieldpack_oli_Medic	Field Pack (Olive)	
arma3-icon b gorod oli ca.png	I_Fieldpack_oli_Repair	Field Pack (Olive)	
arma3-icon b c small oli.png	I_G_HMG_02_high_weapon_F	Dismantled M2 HMG .50 (Raised) [FIA]	
arma3-icon b c small oli.png	I_G_HMG_02_support_F	Folded Tripod M2 HMG .50 [Syndikat]	
arma3-icon b c small oli.png	I_G_HMG_02_support_high_F	Folded Tripod M2 HMG .50 (Raised) [FIA]	
arma3-icon b c small oli.png	I_G_HMG_02_weapon_F	Dismantled M2 HMG .50 [FIA]	
arma3-icon b c small oli.png	I_GMG_01_A_weapon_F	Dismantled Autonomous GMG [AAF]	
arma3-icon b c small oli.png	I_GMG_01_high_weapon_F	Dismantled Mk32 GMG (Raised) [AAF]	
arma3-icon b c small oli.png	I_GMG_01_weapon_F	Dismantled Mk32 GMG [AAF]	
arma3-icon b c small oli.png	I_HMG_01_A_weapon_F	Dismantled Autonomous MG [AAF]	
arma3-icon b c small oli.png	I_HMG_01_high_weapon_F	Dismantled Mk30 HMG (Raised) [AAF]	
arma3-icon b c small oli.png	I_HMG_01_support_F	Folded Tripod [AAF]	
arma3-icon b c small oli.png	I_HMG_01_support_high_F	Folded Tripod (Raised) [AAF]	
arma3-icon b c small oli.png	I_HMG_01_weapon_F	Dismantled Mk30 HMG [AAF]	
arma3-icon b c small oli.png	I_HMG_02_high_weapon_F	Dismantled M2 HMG .50 (Raised) [AAF]	
arma3-icon b c small oli.png	I_HMG_02_support_F	Folded Tripod M2 HMG .50 [AAF]	
arma3-icon b c small oli.png	I_HMG_02_support_high_F	Folded Tripod M2 HMG .50 (Raised) [AAF]	
arma3-icon b c small oli.png	I_HMG_02_weapon_F	Dismantled M2 HMG .50 [AAF]	
arma3-icon b c small oli.png	I_Mortar_01_support_F	Folded Mk6 Mortar Bipod [AAF]	
arma3-icon b c small oli.png	I_Mortar_01_weapon_F	Folded Mk6 Mortar Tube [AAF]	
arma3-icon b c uav oli ca.png	I_UAV_01_backpack_F	UAV Bag (AR-2) [AAF]	
arma3-icon i uav 06 ca.png	I_UAV_06_backpack_F	UAV Bag (AL-6) [AAF]	orange icon ca.png
arma3-icon i uav 06 medical ca.png	I_UAV_06_medical_backpack_F	UAV Bag (AL-6, Medical) [AAF]	orange icon ca.png
arma3-icon i ugv 02 demining ca.png	I_UGV_02_Demining_backpack_F	UGV Bag (ED-1D) [AAF]	
arma3-icon i ugv 02 science ca.png	I_UGV_02_Science_backpack_F	UGV Bag (ED-1E) [AAF]	
arma3-icon b c small khk.png	O_AA_01_weapon_F	Static Titan Launcher (AA) [CSAT]	
arma3-icon b gorod blk ca.png	O_Assault_Diver	Field Pack (Black)	
arma3-icon b c small khk.png	O_AT_01_weapon_F	Static Titan Launcher (AT) [CSAT]	
arma3-icon b c small oli.png	O_G_HMG_02_high_weapon_F	Dismantled M2 HMG .50 (Raised) [FIA]	
arma3-icon b c small oli.png	O_G_HMG_02_support_F	Folded Tripod M2 HMG .50 [Syndikat]	
arma3-icon b c small oli.png	O_G_HMG_02_support_high_F	Folded Tripod M2 HMG .50 (Raised) [FIA]	
arma3-icon b c small oli.png	O_G_HMG_02_weapon_F	Dismantled M2 HMG .50 [FIA]	
arma3-icon b c small khk.png	O_GMG_01_A_weapon_F	Dismantled Autonomous GMG [CSAT]	
arma3-icon b c small khk.png	O_GMG_01_high_weapon_F	Dismantled Mk32 GMG (Raised) [CSAT]	
arma3-icon b c small khk.png	O_GMG_01_weapon_F	Dismantled Mk32 GMG [CSAT]	
arma3-icon b c small khk.png	O_HMG_01_A_weapon_F	Dismantled Autonomous MG [CSAT]	
arma3-icon b c small khk.png	O_HMG_01_high_weapon_F	Dismantled Mk30 HMG (Raised) [CSAT]	
arma3-icon b c small khk.png	O_HMG_01_support_F	Folded Tripod [CSAT]	
arma3-icon b c small khk.png	O_HMG_01_support_high_F	Folded Tripod (Raised) [CSAT]	
arma3-icon b c small khk.png	O_HMG_01_weapon_F	Dismantled Mk30 HMG [CSAT]	
arma3-icon b c small khk.png	O_HMG_02_high_weapon_F	Dismantled M2 HMG .50 (Raised) [CSAT]	
arma3-icon b c small khk.png	O_HMG_02_support_F	Folded Tripod M2 HMG .50 [CSAT]	
arma3-icon b c small khk.png	O_HMG_02_support_high_F	Folded Tripod M2 HMG .50 (Raised) [CSAT]	
arma3-icon b c small khk.png	O_HMG_02_weapon_F	Dismantled M2 HMG .50 [CSAT]	
arma3-icon b c small khk.png	O_Mortar_01_support_F	Folded Mk6 Mortar Bipod [CSAT]	
arma3-icon b c small khk.png	O_Mortar_01_weapon_F	Folded Mk6 Mortar Tube [CSAT]	
arma3-icon b assaultpack ocamo ca.png	O_Static_Designator_02_weapon_F	Remote Designator Bag [CSAT]	mark icon ca.png
arma3-icon b c uav cbr ca.png	O_UAV_01_backpack_F	UAV Bag (AR-2) [CSAT]	
arma3-icon o uav 06 ca.png	O_UAV_06_backpack_F	UAV Bag (AL-6) [CSAT]	orange icon ca.png
arma3-icon o uav 06 medical ca.png	O_UAV_06_medical_backpack_F	UAV Bag (AL-6, Medical) [CSAT]	orange icon ca.png
arma3-icon o ugv 02 demining ca.png	O_UGV_02_Demining_backpack_F	UGV Bag (ED-1D) [CSAT]	
arma3-icon o ugv 02 science ca.png	O_UGV_02_Science_backpack_F	UGV Bag (ED-1E) [CSAT]	
arma3-icon b c small khk.png	UAV_06_backpack_base_F	Bag	orange icon ca.png
arma3-icon b c small khk.png	UAV_06_medical_backpack_base_F	Bag	orange icon ca.png
arma3-icon b c small khk.png	UGV_02_backpack_base_F	Bag	
arma3-icon b c small khk.png	UGV_02_Demining_backpack_base_F	Bag	
arma3-icon b c small khk.png	UGV_02_Science_backpack_base_F	Bag	
arma3-icon b c small khk.png	Weapon_Bag_Base
